epoch,step,train_accuracy,train_f1,train_loss,val_accuracy,val_accuracy_argmax,val_f1,val_f1_argmax,val_loss
0,20,0.229545459151268,0.14842386543750763,2.1819703578948975,,,,,
1,41,0.27878788113594055,0.190599724650383,2.153090238571167,,,,,
2,62,0.3499999940395355,0.26132503151893616,2.1050477027893066,,,,,
3,83,0.3901515007019043,0.2940441966056824,2.033315420150757,,,,,
4,104,,,,0.477477490901947,0.46846845746040344,0.4588131606578827,0.3790616989135742,1.845921277999878
4,104,0.4378787875175476,0.3442152440547943,1.9226603507995605,,,,,
5,125,0.4833333194255829,0.4048976004123688,1.8006731271743774,,,,,
6,146,0.5234848260879517,0.45673587918281555,1.6750589609146118,,,,,
7,167,0.5916666388511658,0.5360912680625916,1.5485994815826416,,,,,
8,188,0.6583333611488342,0.6131829023361206,1.4294639825820923,,,,,
9,209,,,,0.684684693813324,0.7207207083702087,0.6704390645027161,0.6781558990478516,1.2640979290008545
9,209,0.6704545617103577,0.6220108270645142,1.3319554328918457,,,,,
10,230,0.75,0.7029999494552612,1.2137229442596436,,,,,
11,251,0.7901515364646912,0.7430376410484314,1.0818417072296143,,,,,
12,272,0.8136363625526428,0.765985369682312,0.9780582785606384,,,,,
13,293,0.8621212244033813,0.8128322958946228,0.8704955577850342,,,,,
14,314,,,,0.8288288116455078,0.8468468189239502,0.7662487626075745,0.750991702079773,0.8160547018051147
14,314,0.8727272748947144,0.8201872706413269,0.7804134488105774,,,,,
15,335,0.8863636255264282,0.8328372240066528,0.7215426564216614,,,,,
16,356,0.8909090757369995,0.842530369758606,0.6794229745864868,,,,,
17,377,0.9121212363243103,0.8668382167816162,0.600727915763855,,,,,
